latitude,longitude,area_km2
28.482935,77.19066,153.85193
24.857788,77.87017,3.0968673
31.006147,74.55664,4.5149493
46.453903,22.8103,0.6861858
-4.7474384,121.66953,2.5167482
51.802048,-8.645366,0.015350043
-6.958372,110.14641,1.421597
18.660288,105.69184,0.17124493
-5.258264,119.43298,4.3692465
36.184982,-81.617424,0.011849742
41.477074,28.297098,1.447869
46.722504,-94.39497,3.62912
26.28842,-81.8312,0.022130117
-23.026264,-46.98456,0.1515175
21.02434,105.84289,0.23585503
1.0415857,109.1244,199.45879
43.913986,11.062671,0.017849239
31.893253,108.21085,0.020979976
20.56166,92.89389,1190.0764
38.819244,-76.75229,5.4010754
-7.007648,107.6207,0.029408896
27.699009,79.63899,1.2355404
36.71617,-4.4585423,55.735943
-26.61381,153.07854,273.58044
-9.871151,123.771416,129.89403
35.312164,127.83787,5.4658546
28.595474,77.16226,0.22885475
36.66039,127.18894,58.131435
51.613716,-2.950862,9.842246
-3.0742517,104.75115,4.895452
-32.32449,115.99253,0.18507014
44.68134,10.073685,0.74912524
19.376839,-98.959236,0.35075766
27.203117,77.98208,0.31574783
41.439922,-8.293319,0.0084995385
-1.2589886,36.865143,1.3401126
55.30105,65.303535,0.5229894
-7.120514,110.925026,2056.1182
-29.644135,-51.13547,2.0726702
23.61267,55.962852,76.79643
13.297573,-87.17491,0.253795
51.229298,7.8416862,0.10678017
49.232197,7.357756,0.020164886
12.312642,76.65609,0.041083038
-0.8689696,100.34552,0.047676664
-34.071938,139.68477,0.419785
24.799917,56.12942,13.979103
17.390673,78.53878,0.10513283
26.76453,84.37992,5.497088
50.6368,121.54954,0.015739378
-0.7873939,111.61932,32.468227
-7.1927614,113.247154,0.047401022
14.0311985,74.526375,1.3226477
44.423702,8.877178,2.4568992
24.29279,89.91058,13.980253
6.6576023,116.97188,1.7703743
-6.195734,106.83621,5.383713
31.28929,-110.936554,0.010796882
41.456383,15.554267,0.028279612
-3.7726893,-38.556297,0.89562273
29.908157,-90.007774,7.538837
-12.975886,-69.93846,4860.025
21.091064,92.12906,0.02300884
-33.91769,18.503382,3.4563146
46.887207,25.872816,113.42203
48.48022,135.10114,220.96257
38.765118,-78.38806,0.019296395
42.882343,-8.5476885,0.014567273
14.656296,120.95324,0.38086495
41.788013,-86.74458,3.4521422
48.982864,-116.17216,0.1133729
4.7137384,-75.71502,0.011921546
43.59433,-84.30635,3.1972306
27.525974,95.109215,0.8808239
19.357096,-98.97046,6.155756
3.0819895,98.9146,10.48772
16.120523,107.40102,0.053323142
-7.3649955,112.6712,34.03663
48.428234,-123.35852,20.891787
26.479475,86.7694,3.352972
28.0716,-107.69017,0.021786617
33.8904,-117.77652,47.784756
12.593211,102.546844,150.87206
3.5453835,98.84094,1.088415
19.31902,-98.16201,0.063283436
36.569893,126.62439,449.73105
41.444805,2.1630619,0.77116835
14.379466,75.09792,6.1809144
40.6302,14.491416,8.320771
40.63652,-4.0047364,7.660382
40.65273,-79.087975,2154.3218
41.564735,-93.58443,3.2410538
50.413857,2.902418,0.015242113
15.414937,99.97355,18.884491
17.041737,-96.71219,0.38951457
30.667572,-88.10076,469.65817
40.76785,-87.1361,8.340121
44.43161,8.778053,2.8451524
26.232439,90.223816,14.167275
32.46823,-93.87505,0.019303605
30.62172,-97.57803,2.703557
22.471062,120.461105,4.6223173
18.719322,98.86169,63.84422
25.539175,91.26004,1.3475822
6.558152,-75.82335,0.044612646
10.837604,106.7238,6.673106
53.02044,-2.7641358,1.2078869
43.087425,0.5603737,6.9835944
24.970615,121.22978,0.1839779
13.842923,100.48001,3.2323616
-0.86934376,100.38235,3.5155444
45.52069,11.569766,0.08164336
32.73247,-116.97923,17.644363
33.15513,-93.19604,0.021238139
40.94863,14.37038,5.7398424
-2.9481437,106.40422,46.93909
-23.00223,-43.373894,55.56645
3.606262,96.954544,1.2036829
22.778011,86.17884,0.07296055
-7.170473,111.228615,6.1432962
43.661972,51.24794,161.6685
42.41575,-89.79006,0.5704165
19.31016,-99.2434,0.06381264
20.827095,106.725494,1.1992551
41.155293,-73.19967,4.9581733
64.218636,27.738197,9.810406
49.887276,10.897661,59.61261
-21.558548,-45.42408,0.44253632
20.502298,106.39927,1653.3252
28.059557,78.88464,1.1906549
25.112095,87.82477,6.0227094
41.854218,12.478341,0.058266267
-7.832473,112.016945,19.038446
32.335518,-90.17847,0.05306455
-25.445204,-49.264645,3.221344
-8.780087,116.1666,122.89173
-19.755863,-41.751,455.97256
13.881068,100.51438,9.855214
5.014321,97.28916,0.82120025
-6.953482,107.69752,9.1919775
50.780567,-2.9893067,2.8933156
13.284136,45.267612,0.9456343
40.795242,30.737926,16.01315
1.393941,99.257484,0.4126046
6.9975677,-76.31401,1996.938
36.89532,22.245583,0.016489813
25.685326,84.73004,1.588796
28.90606,-81.213806,106.82689
26.284582,86.715965,9.736588
37.01525,127.89686,986.41327
40.68276,38.610302,0.018775357
19.991575,-155.24191,0.023170972
-6.922503,107.55626,3.5605276
47.035748,16.481514,11.139103
28.574602,77.31234,0.087217525
-8.054699,113.72312,71.72679
42.376026,12.213079,18.90572
-0.41801018,37.637333,0.80285037
43.37326,-84.664246,0.036509916
52.25173,11.649707,55.56429
-22.75035,-47.312702,1.9358786
3.29221,-75.62336,0.024578601
24.837442,67.07659,0.1488449
19.644993,-155.9931,47.999546
50.76186,127.30253,0.015697913
32.64171,73.310074,0.17462899
-19.83212,-44.607048,564.3281
45.76828,4.8763385,0.017211098
-20.45638,-45.425232,0.08819671
41.07306,1.0761851,6.7133765
-7.283238,109.96144,4.3131943
47.514458,21.612825,0.18366554
53.415,49.404167,0.0148002645
-23.013794,-43.481438,32.883118
34.451126,35.81098,0.020387605
41.905014,12.516207,0.018432053
22.90087,90.85058,1.2011331
53.574223,9.8456,77.814255
-24.187828,-46.808266,2.3771646
40.006027,-74.18601,0.39584967
